run,relative_path,bytes,has_out_log,out_log_bytes,out_traceback,out_program_crashed,mentions_run_omnirec,imports_omnirec,uses_mock_or_fallback,loads_u_data,loads_video_games,loads_lastfm,mentions_als,mentions_itemknn,mentions_pop,mentions_ndcg,mentions_precision,mentions_recall,explicit_download,seed_literals
V100_P2_GPT54_I05_R02,study_runs/V100_P2_GPT54_I05_R02/checkpoint/186a6cf6fb344c039e1dda2f750886cb/code.py,9988,True,3397,True,True,True,True,False,True,False,False,True,False,False,True,False,False,False,"[7, 13, 29, 42, 87]"
V100_P2_GPT54_I05_R02,study_runs/V100_P2_GPT54_I05_R02/checkpoint/6651066e85eb4800a816e0084cc13064/code.py,17138,True,383,False,True,True,True,False,True,False,False,False,False,True,True,True,False,False,7
V100_P2_GPT54_I05_R02,study_runs/V100_P2_GPT54_I05_R02/checkpoint/6ef757c13ca04289b1b7f6fa5c5b59a1/code.py,12290,True,5047,False,False,True,True,False,True,False,False,False,True,False,True,True,False,False,7
V100_P2_GPT54_I05_R02,study_runs/V100_P2_GPT54_I05_R02/checkpoint/73be1f73012545e9911ff1449851c2bb/code.py,11498,True,4936,False,False,True,True,True,True,False,False,False,False,True,True,True,False,False,7
V100_P2_GPT54_I05_R02,study_runs/V100_P2_GPT54_I05_R02/checkpoint/76cc9e35c947427c9589f19b532a152f/code.py,12144,True,4936,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,7
V100_P2_GPT54_I05_R02,study_runs/V100_P2_GPT54_I05_R02/checkpoint/d4dae55ea810493681b2ee614cb64fb6/code.py,12228,True,4932,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,7
V100_P2_GPT54_I05_R02,study_runs/V100_P2_GPT54_I05_R02/checkpoint/d4dae55ea810493681b2ee614cb64fb6_iteration1/code.py,27482,True,2409,False,True,True,True,False,True,True,True,True,True,True,True,True,False,False,"[7, 13, 29, 42, 87]"
V100_P2_GPT54_I05_R02,study_runs/V100_P2_GPT54_I05_R02/checkpoint/d4dae55ea810493681b2ee614cb64fb6_iteration2/code.py,25062,True,383,False,True,True,True,False,True,True,True,True,True,True,True,True,False,False,"[7, 13, 29, 42, 87]"
V100_P2_GPT54_I05_R02,study_runs/V100_P2_GPT54_I05_R02/checkpoint/d4dae55ea810493681b2ee614cb64fb6_seed/code.py,12228,True,4932,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,7
V100_P2_GPT54_I05_R02,study_runs/V100_P2_GPT54_I05_R02/checkpoint/eddfabc04a024456a9f29f534aefed71/code.py,11056,True,807,False,True,True,True,False,True,False,False,False,True,False,True,True,False,False,"[7, 13, 29, 42, 87]"
V100_P2_GPT54_I05_R01,study_runs/V100_P2_GPT54_I05_R01/checkpoint/03f051567e904656ad105f8d25c57a32/code.py,11193,True,814,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,"[7, 13, 29, 42, 87]"
V100_P2_GPT54_I05_R01,study_runs/V100_P2_GPT54_I05_R01/checkpoint/04f48b1f7cb64750af4875102ffebf1c/code.py,9710,True,3768,True,True,True,True,False,True,False,False,False,True,False,True,True,False,False,42
V100_P2_GPT54_I05_R01,study_runs/V100_P2_GPT54_I05_R01/checkpoint/463f928539dd419880b3701067bf30e7/code.py,10438,True,2594,True,True,True,True,False,True,False,False,False,True,False,True,True,False,False,42
V100_P2_GPT54_I05_R01,study_runs/V100_P2_GPT54_I05_R01/checkpoint/689fdb467ed14a69b6b30f5e43651ab5/code.py,6657,True,788,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,42
V100_P2_GPT54_I05_R01,study_runs/V100_P2_GPT54_I05_R01/checkpoint/a086ad426c6941eb80d27438d0dea564/code.py,15542,True,3822,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,42
