run,relative_path,metric_rows,datasets,algorithms,seeds,metrics,ks,all_finite
V100_P2_GPT54_I05_R02,study_runs/V100_P2_GPT54_I05_R02/checkpoint/d4dae55ea810493681b2ee614cb64fb6_seed/generated/seed_7/checkpoints/results.json,2,MovieLens100K-ef525a25,PopScorer,7,NDCG|Precision,10,True
V100_P2_GPT54_I05_R02,study_runs/V100_P2_GPT54_I05_R02/checkpoint/d4dae55ea810493681b2ee614cb64fb6/generated/seed_7/checkpoints/results.json,2,MovieLens100K-ef525a25,PopScorer,7,NDCG|Precision,10,True
V100_P2_GPT54_I05_R02,study_runs/V100_P2_GPT54_I05_R02/checkpoint/76cc9e35c947427c9589f19b532a152f/generated/seed_7/checkpoints/results.json,2,MovieLens100K-ef525a25,PopScorer,7,NDCG|Precision,10,True
V100_P2_GPT54_I05_R02,study_runs/V100_P2_GPT54_I05_R02/checkpoint/73be1f73012545e9911ff1449851c2bb/generated/seed_7/checkpoints/results.json,2,MovieLens100K-f42d424a,PopScorer,7,NDCG|Precision,10,True
V100_P2_GPT54_I05_R02,study_runs/V100_P2_GPT54_I05_R02/checkpoint/6ef757c13ca04289b1b7f6fa5c5b59a1/generated/seed_7/checkpoints/results.json,2,MovieLens100K-ef525a25,ItemKNNScorer,7,NDCG|Precision,10,True
V100_P2_GPT54_I05_R01,study_runs/V100_P2_GPT54_I05_R01/checkpoint/a086ad426c6941eb80d27438d0dea564_seed/generated/checkpoints/results.json,0,,,,,,True
V100_P2_GPT54_I05_R01,study_runs/V100_P2_GPT54_I05_R01/checkpoint/a086ad426c6941eb80d27438d0dea564_iteration2/generated/checkpoints/results.json,0,,,,,,True
V100_P2_GPT54_I05_R01,study_runs/V100_P2_GPT54_I05_R01/checkpoint/a086ad426c6941eb80d27438d0dea564/generated/checkpoints/results.json,0,,,,,,True
V100_P2_GPT54_I05_R01,study_runs/V100_P2_GPT54_I05_R01/checkpoint/04f48b1f7cb64750af4875102ffebf1c/generated/checkpoints/results.json,0,,,,,,True
V100_P1_NANO_I05_R05,study_runs/V100_P1_NANO_I05_R05/checkpoint/77cee7c143e54342a6d595c53dab704e/generated/checkpoints/results.json,1,MovieLens100K-25551e72,ImplicitMFScorer,42,NDCG,10,True
V100_P1_NANO_I05_R03,study_runs/V100_P1_NANO_I05_R03/checkpoint/8676fcf9d5a649d1a9d6d65edaa7437e_seed/generated/checkpoints/results.json,0,,,,,,True
V100_P1_NANO_I05_R03,study_runs/V100_P1_NANO_I05_R03/checkpoint/8676fcf9d5a649d1a9d6d65edaa7437e/generated/checkpoints/results.json,0,,,,,,True
V100_P1_NANO_I05_R01,study_runs/V100_P1_NANO_I05_R01/checkpoint/a5ac2c0ff24b457bae5445a51708e653_seed/generated/checkpoints/results.json,5,MovieLens100K-488acb2a,ImplicitMFScorer,101|202|303|404|505,Precision,10,True
V100_P1_NANO_I05_R01,study_runs/V100_P1_NANO_I05_R01/checkpoint/a5ac2c0ff24b457bae5445a51708e653/generated/checkpoints/results.json,5,MovieLens100K-488acb2a,ImplicitMFScorer,101|202|303|404|505,Precision,10,True
V100_P0_NANO_I05_R05,study_runs/V100_P0_NANO_I05_R05/checkpoint/961d5f9febae499fa6037ebdd89d6c7c/generated/checkpoints/results.json,5,MovieLens100K-08d57673,ImplicitMFScorer,101|202|303|404|505,NDCG,10,True
V100_P0_NANO_I05_R01,study_runs/V100_P0_NANO_I05_R01/checkpoint/904094bc4dec46988262a1fe8b9d35f6/generated/checkpoints/results.json,2,MovieLens100K-08d57673,ItemKNNScorer,42,NDCG|Recall,10,True
V100_P0_NANO_I05_R01,study_runs/V100_P0_NANO_I05_R01/checkpoint/1390f6c0be5743b8927162dbbe425e75_seed/generated/checkpoints/results.json,1,MovieLens100K-36ca8c6a,ImplicitMFScorer,42,Precision,5,True
V100_P0_NANO_I05_R01,study_runs/V100_P0_NANO_I05_R01/checkpoint/1390f6c0be5743b8927162dbbe425e75_iteration2/generated/checkpoints/results.json,18,MovieLens100K-fa2ae422,ImplicitMFScorer|ItemKNNScorer|PopScorer,42,NDCG|Precision,1|10|5,True
V100_P0_NANO_I05_R01,study_runs/V100_P0_NANO_I05_R01/checkpoint/1390f6c0be5743b8927162dbbe425e75/generated/checkpoints/results.json,1,MovieLens100K-36ca8c6a,ImplicitMFScorer,42,Precision,5,True
V100_P0_MINI_I05_R05,study_runs/V100_P0_MINI_I05_R05/checkpoint/c1cab3cf57c346019ca9d1992dcac3ef_seed/generated/checkpoints/results.json,2,MovieLens100K-938abed0,PopScorer,42,NDCG|Precision,10,True
V100_P0_MINI_I05_R05,study_runs/V100_P0_MINI_I05_R05/checkpoint/c1cab3cf57c346019ca9d1992dcac3ef/generated/checkpoints/results.json,2,MovieLens100K-938abed0,PopScorer,42,NDCG|Precision,10,True
V100_P0_MINI_I05_R05,study_runs/V100_P0_MINI_I05_R05/checkpoint/b961f343d9f8405a8f194c65eb67b0cf/generated/checkpoints/results.json,2,MovieLens100K-938abed0,PopScorer,11,NDCG|Precision,10,True
V100_P0_MINI_I05_R05,study_runs/V100_P0_MINI_I05_R05/checkpoint/a60f1446dae34e6c85594e6ccf365727/generated/checkpoints/results.json,2,MovieLens100K-43a5f96f,PopScorer,11,NDCG|Precision,10,True
V100_P0_MINI_I05_R05,study_runs/V100_P0_MINI_I05_R05/checkpoint/5f85c771837f46e69ed3548da85ed85f/generated/checkpoints/results.json,2,MovieLens100K-938abed0,PopScorer,11,NDCG|Recall,10,True
V100_P0_MINI_I05_R04,study_runs/V100_P0_MINI_I05_R04/checkpoint/e543f9f743a340479000d7640c0720a3/generated/checkpoints/results.json,10,MovieLens100K-938abed0,ItemKNNScorer,13|21|42|7|87,NDCG|Recall,10,True
V100_P0_MINI_I05_R04,study_runs/V100_P0_MINI_I05_R04/checkpoint/81f0cfbf8c764fd2916c0548137ef91b/generated/checkpoints/results.json,10,MovieLens100K-938abed0,ItemKNNScorer,13|21|42|7|87,NDCG|Recall,10,True
V100_P0_MINI_I05_R04,study_runs/V100_P0_MINI_I05_R04/checkpoint/6624255987bf439f9714e8560c0cd3b5/generated/checkpoints/results.json,10,MovieLens100K-938abed0,ItemKNNScorer,13|21|42|7|87,NDCG|Precision,10,True
