run_id,phase,prompt,model,iterations,replicate,evidence_scope,outcome,native_result_status,semantic_status,key_behavior,prompt_file,evidence_path
SMOKE_V100_P0_I01,smoke,P0,gpt-5.4-mini,1,,curated evidence,excluded smoke run,partial,excluded,~3.64 GiB Amazon allocation; partial execution,study_context/prompts/P0_original.txt,evidence/SMOKE_V100_P0_I01/
V100_P0_GPT54_I05_R01,exploratory,P0,gpt-5.4,5,R01,curated evidence,partial,partial,invalid/incomplete,Second 90-entry MovieLens run; per-seed native result files; Amazon loading failed,study_context/prompts/P0_original.txt,evidence/V100_P0_GPT54_I05_R01/
V100_P0_MINI_I05_R02,exploratory,P0,gpt-5.4-mini,5,R02,curated evidence,failed,none,invalid/incomplete,90-entry MovieLens request; split/threshold deviation; failed during preprocessing,study_context/prompts/P0_original.txt,evidence/V100_P0_MINI_I05_R02/
V100_P0_MINI_I05_R03,exploratory,P0,gpt-5.4-mini,5,R03,curated evidence,partial,partial,invalid/incomplete,Recall relabelled as Precision,study_context/prompts/P0_original.txt,evidence/V100_P0_MINI_I05_R03/
V100_P0_MINI_I05_R04,exploratory,P0,gpt-5.4-mini,5,R04,curated evidence,failed,none,invalid/incomplete,KeyError: 'rating'; schema/loader mismatch,study_context/prompts/P0_original.txt,evidence/V100_P0_MINI_I05_R04/
V100_P0_NANO_I05_R02,exploratory,P0,gpt-5.4-mini,5,R02,curated evidence,failed,none,invalid/incomplete,OmniRec/LensKit API mismatch; no actual results,study_context/prompts/P0_original.txt,evidence/V100_P0_NANO_I05_R02/
V100_P0_NANO_I05_R05,exploratory,P0,gpt-5.4-mini,5,R05,curated evidence,invalid output,mock/custom only,invalid,Mock popularity results under three algorithm labels; no valid execution,study_context/prompts/P0_original.txt,evidence/V100_P0_NANO_I05_R05/
V100_P2_GPT54_I05_R02,exploratory,P2,gpt-5.4,5,R02,curated evidence,partial,partial,invalid/incomplete,81.8% reviewer alignment versus 2/270 coverage; only one successful metric row in retained output,study_context/prompts/P2_compatible_detailed.txt,evidence/V100_P2_GPT54_I05_R02/
V100_P2_MINI_I05_R01,preregistered,P2,gpt-5.4-mini,5,R01,curated evidence,failed,none,invalid/incomplete,MovieLens preprocessing completed; Amazon schema/loading failure before evaluation,study_context/prompts/P2_compatible_detailed.txt,evidence/V100_P2_MINI_I05_R01/
V100_P2_MINI_I05_R02,preregistered,P2,gpt-5.4-mini,5,R02,curated evidence,partial,partial,invalid/incomplete,MovieLens only; 135 rows across 5 seeds and 3 algorithms/cutoffs; validation/split and metric-label issues,study_context/prompts/P2_compatible_detailed.txt,evidence/V100_P2_MINI_I05_R02/
V100_P2_MINI_I05_R03,preregistered,P2,gpt-5.4-mini,5,R03,curated evidence,partial,partial,invalid/incomplete,Single completed MovieLens ALS result; 1/270 coverage in retained output,study_context/prompts/P2_compatible_detailed.txt,evidence/V100_P2_MINI_I05_R03/
V100_P2_MINI_I05_R04,preregistered,P2,gpt-5.4-mini,5,R04,curated evidence,failed,none,invalid/incomplete,BadZipFile during RecSysDataSet.load; no metric rows,study_context/prompts/P2_compatible_detailed.txt,evidence/V100_P2_MINI_I05_R04/
V100_P2_MINI_I05_R05,preregistered,P2,gpt-5.4-mini,5,R05,curated evidence,failed,none,invalid/incomplete,RecSysDataSet/DataFrame ambiguity error before evaluation; 0/270,study_context/prompts/P2_compatible_detailed.txt,evidence/V100_P2_MINI_I05_R05/
V100_P3_MINI_I05_R01,preregistered,P3,gpt-5.4-mini,5,R01,curated evidence,failed,none,invalid/incomplete,Amazon Video Games schema detection failed; no valid metrics,study_context/prompts/P3_contract_validated.txt,evidence/V100_P3_MINI_I05_R01/
V100_P3_MINI_I05_R02,preregistered,P3,gpt-5.4-mini,5,R02,curated evidence,failed,none,invalid/incomplete,Dataset loading failure before metrics; 0/270; validation did not run,study_context/prompts/P3_contract_validated.txt,evidence/V100_P3_MINI_I05_R02/
V100_P3_MINI_I05_R03,preregistered,P3,gpt-5.4-mini,5,R03,curated evidence,invalid output,none,invalid,Validator-subversion finding; validation report rewrote denominator from 270 to 30,study_context/prompts/P3_contract_validated.txt,evidence/V100_P3_MINI_I05_R03/
V100_P3_MINI_I05_R04,preregistered,P3,gpt-5.4-mini,5,R04,curated evidence,invalid output,none,invalid,Corrupt validation report,study_context/prompts/P3_contract_validated.txt,evidence/V100_P3_MINI_I05_R04/
V100_P3_MINI_I05_R05,preregistered,P3,gpt-5.4-mini,5,R05,curated evidence,failed,none,invalid/incomplete,File/archive loading failure before evaluation; 0/270,study_context/prompts/P3_contract_validated.txt,evidence/V100_P3_MINI_I05_R05/
